u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
718NHO8A,acer Aspire Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop,34890,54990,36% off,105,13,4.2,"['AMD Ryzen 5 Quad Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year International Travelers Warranty (ITW)']",https://www.flipkart.com/acer-aspire-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-11-home-a315-23-laptop/p/itm9d884bcbd61d0?pid=COMGHMHANBW3WBPB&lid=LSTCOMGHMHANBW3WBPBGTWSJR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_hDR4iDWei38CE0EP8z5S3iaPkEXLr8jsYDFpluZZiWCEy9c%2BwUBPwAZXNTyvi9L1X%2FSvMPIfq371YDA8qrSJEg%3D%3D&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:26.391601+05:30
SQZFRPHI,HP OMEN Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/AMD Radeon RX...,99890,124283,19% off,0,0,0,"['AMD Ryzen 7 Octa Core Processor', '16 GB DDR5 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '40.89 cm (16.1 inch) Display', 'Office Home and Student 2021', '1 Year Onsite Warranty']",https://www.flipkart.com/hp-omen-ryzen-7-octa-core-amd-r7-6800h-16-gb-512-gb-ssd-windows-11-home-8-graphics-amd-radeon-rx-6650m-144-hz-16-n0079ax-gaming-laptop/p/itme9d741398d445?pid=COMGHJ7GDZDG3ZAT&lid=LSTCOMGHJ7GDZDG3ZATTXW9SH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_hDR4iDWei38CE0EP8z5S3iaPkEXLr8jsYDFpluZZiWBaFlEpDulvLe7iNA93HH6muh8Yp7nwbxlobWvu4ldHAA%3D%3D&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:26.646922+05:30
2Y5JT6YC,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,30890,45990,32% off,3600,370,4.3,"['Intel Core i3 Processor (10th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Office Home and Student 2021', '1 Year Onsite Warranty']",https://www.flipkart.com/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-thin-light-laptop/p/itmae4a34193296d?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=2c9261f7-8881-42e1-847d-b9b7c05b4c42.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:27.444939+05:30
D0RXIZ9Y,ASUS VivoBook 15 (2022) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ562WS | X515JA-E...,37890,57990,34% off,2408,211,4.3,"['Intel Core i5 Processor (10th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Office Home and Student 2021', '1 Year Onsite Warranty']",https://www.flipkart.com/asus-vivobook-15-2022-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej562ws-x515ja-ej592ws-thin-light-laptop/p/itm2e65b7fbcb497?pid=COMG87FF2SD7ZHK6&lid=LSTCOMG87FF2SD7ZHK6CCCXCI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=2c9261f7-8881-42e1-847d-b9b7c05b4c42.COMG87FF2SD7ZHK6.SEARCH&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:27.984267+05:30
WCFDPSA3,HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,49890,63539,21% off,8146,854,4.5,"['AMD Ryzen 5 Hexa Core Processor', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstarts', '1 Year Onsite Warranty']",https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWSQE9WVW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=2c9261f7-8881-42e1-847d-b9b7c05b4c42.COMG5GZXPWMGTNWS.SEARCH&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:28.246208+05:30
FLRXW6MP,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,47890,70990,32% off,931,79,4.4,"['Intel Core i5 Processor (10th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Onsite Warranty']",https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=2c9261f7-8881-42e1-847d-b9b7c05b4c42.COMGF9Z7JYCFBKAP.SEARCH&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:28.484757+05:30
XA3E0XGG,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,38890,49508,21% off,1656,143,4.3,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Onsite Warranty']",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-14s-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=2c9261f7-8881-42e1-847d-b9b7c05b4c42.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:28.741434+05:30
3PKPGM9R,Infinix X1 Series Core i7 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/128 MB Graphics) XL12 Thin and ...,48890,69999,30% off,128,17,4.2,"['Intel Core i7 Processor (10th Gen)', '16 GB LPDDR4X RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Onsite Warranty']",https://www.flipkart.com/infinix-x1-series-core-i7-10th-gen-16-gb-512-gb-ssd-windows-11-home-128-mb-graphics-xl12-thin-light-laptop/p/itm5aff0cd7999a4?pid=COMGAY7ZYVRFPMSH&lid=LSTCOMGAY7ZYVRFPMSHDEBKQD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_hDR4iDWei38CE0EP8z5S3iaPkEXLr8jsYDFpluZZiWCsr80C1X%2F62nK3cOMDna3a%2Bf8B%2FBOBwfZOmbxNELgTeg%3D%3D&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:28.995725+05:30
S9KRYNZZ,ASUS VivoBook 15 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ502WS T...,44890,72990,38% off,2141,186,4.3,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '1 TB HDD|256 GB SSD', '39.62 cm (15.6 inch) Display', 'Office Home and Student 2021', '1 Year Onsite Warranty']",https://www.flipkart.com/asus-vivobook-15-2022-core-i5-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-x515ea-ej502ws-thin-light-laptop/p/itm1d88bb23a2484?pid=COMG87FFG6S8ZRXP&lid=LSTCOMG87FFG6S8ZRXPPOZ9DA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=2c9261f7-8881-42e1-847d-b9b7c05b4c42.COMG87FFG6S8ZRXP.SEARCH&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:29.245378+05:30
HDSXFRQU,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,51890,71990,27% off,264,38,4.5,"['AMD Ryzen 5 Hexa Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '43.94 cm (17.3 Inch) Display', '1 Year Onsite Warranty']",https://www.flipkart.com/asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=2c9261f7-8881-42e1-847d-b9b7c05b4c42.COMGFYQZZFRKBNWV.SEARCH&ppt=None&ppn=None&ssid=7hj3relzxc0000001664552211632&qH=c06ea84a1e3dc3c6,2022-09-30 21:06:29.499851+05:30
