u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
8VS0BY06,Infinix INBook X2 Plus Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Lapto...,52890,79990,33% off,0,0,0,"['Intel Core i7 Processor (11th Gen)', '16 GB LPDDR4X RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']",https://www.flipkart.com/infinix-inbook-x2-plus-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-xl25-thin-light-laptop/p/itme96c690aad432?pid=COMGGQE93WGJJF5R&lid=LSTCOMGGQE93WGJJF5RAIAMDD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_4NCsd4D7IrWtgEQ%2B%2B5TePQvys0sZgpP%2F65EQCrzkhGPXCdGq37AHGrHOuMNFPu7my8GuhdGjh%2F0H63J4Aoe4Jw%3D%3D&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:37.278355+05:30
P006MF25,Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light Lap...,35890,60090,40% off,345,32,4.1,"['AMD Ryzen 5 Quad Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '2 Years Onsite�Warranty']",https://www.flipkart.com/lenovo-ideapad-1-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-11-home-15ada7-thin-light-laptop/p/itm6253939cee63b?pid=COMGFM5BXGAMEWPE&lid=LSTCOMGFM5BXGAMEWPESNT1TZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_4NCsd4D7IrWtgEQ%2B%2B5TePQvys0sZgpP%2F65EQCrzkhGPvlPAF%2BAL807N%2F%2FkOJUWe2cERa36eluxV4PcsS2JyIyA%3D%3D&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:37.433832+05:30
06CR78GV,ASUS VivoBook 15 (2022) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ562WS | X515JA-E...,38890,57990,32% off,4237,372,4.3,"['Intel Core i5 Processor (10th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Office Home and Student 2021', '1 Year Onsite Warranty']",https://www.flipkart.com/asus-vivobook-15-2022-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej562ws-x515ja-ej592ws-thin-light-laptop/p/itm2e65b7fbcb497?pid=COMG87FF2SD7ZHK6&lid=LSTCOMG87FF2SD7ZHK6CCCXCI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=e990d7b7-31e7-4a83-8ea3-a78ebff7b2a3.COMG87FF2SD7ZHK6.SEARCH&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:37.588792+05:30
9RS90ASW,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,30890,45990,32% off,6260,616,4.3,"['Intel Core i3 Processor (10th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Office Home and Student 2021', '1 Year Onsite Warranty']",https://www.flipkart.com/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-thin-light-laptop/p/itmae4a34193296d?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=e990d7b7-31e7-4a83-8ea3-a78ebff7b2a3.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:37.741514+05:30
EI8G7NWF,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,47890,70990,32% off,2673,232,4.4,"['Intel Core i5 Processor (10th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Onsite Warranty']",https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=e990d7b7-31e7-4a83-8ea3-a78ebff7b2a3.COMGF9Z7JYCFBKAP.SEARCH&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:37.894553+05:30
F1TQ1JAS,MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) ...,59890,95990,37% off,682,69,4.4,"['Intel Core i7 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '2 Year Carry-In Warranty Term']",https://www.flipkart.com/msi-core-i7-11th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-gf63-thin-11uc-866in-gaming-laptop/p/itmcdf83d73cd74d?pid=COMGEY8WGGHKT7WZ&lid=LSTCOMGEY8WGGHKT7WZIJXAVP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=e990d7b7-31e7-4a83-8ea3-a78ebff7b2a3.COMGEY8WGGHKT7WZ.SEARCH&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:38.046707+05:30
36JIB70R,MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX ...,84890,123990,31% off,43,7,4.4,"['Intel Core i7 Processor (11th Gen)', '16 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '2 Year Carry-In Warranty Term']",https://www.flipkart.com/msi-katana-gf66-core-i7-11th-gen-16-gb-512-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-3060-144-hz-11ue-861in-gaming-laptop/p/itm38e396a4d4d5c?pid=COMGEY8WGQXWHYXU&lid=LSTCOMGEY8WGQXWHYXU1RLJ8X&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=e990d7b7-31e7-4a83-8ea3-a78ebff7b2a3.COMGEY8WGQXWHYXU.SEARCH&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:38.213333+05:30
5B8YNLS3,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,35890,60890,41% off,518,43,4.2,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '256 GB SSD', '35.56 cm (14 inch) Display', 'Office Home and Student 2021', '2 Year Onsite�Warranty']",https://www.flipkart.com/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_4NCsd4D7IrWtgEQ%2B%2B5TePQvys0sZgpP%2F65EQCrzkhGPc%2B%2BxxFZNSYcBny2CzN8%2FgEmBzUjlXaeSr5jevQkjSZA%3D%3D&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:38.384632+05:30
LD1Q1NYA,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,46890,70990,33% off,20,4,4.3,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']",https://www.flipkart.com/asus-vivobook-15-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itm85cfbc3a2e8a7?pid=COMGDRNRY8YB3KEG&lid=LSTCOMGDRNRY8YB3KEGYHXTW6&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=e990d7b7-31e7-4a83-8ea3-a78ebff7b2a3.COMGDRNRY8YB3KEG.SEARCH&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:38.536184+05:30
QGO5YUSM,acer Extensa Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) EX 215-54 Thin and Light Laptop,27890,39999,30% off,146,9,4.4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '256 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year International Travelers Warranty (ITW)']",https://www.flipkart.com/acer-extensa-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-ex-215-54-thin-light-laptop/p/itm250fbb84e17e7?pid=COMGGYEBHVBR8EVN&lid=LSTCOMGGYEBHVBR8EVNRJAVBG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=e990d7b7-31e7-4a83-8ea3-a78ebff7b2a3.COMGGYEBHVBR8EVN.SEARCH&ppt=None&ppn=None&ssid=np7s1ze24w0000001666437633249&qH=c06ea84a1e3dc3c6,2022-10-22 16:49:38.690708+05:30
